DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,M,FR,2020,375476,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,M,FR,2021,364272,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,M,FR,2022,368262,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,M,FR,2023,381492,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y27,M,FR,2024,384510,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,F,FR,2020,389755,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,F,FR,2021,389690,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,F,FR,2022,376980,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,F,FR,2023,380857,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,F,FR,2024,388234,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,M,FR,2020,381021,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,M,FR,2021,379026,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,M,FR,2022,370420,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,M,FR,2023,371869,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y28,M,FR,2024,384915,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,F,FR,2020,400902,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,F,FR,2021,396817,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,F,FR,2022,397984,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,F,FR,2023,383569,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,F,FR,2024,387390,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,M,FR,2020,392543,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,M,FR,2021,385347,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,M,FR,2022,387007,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,M,FR,2023,375586,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y29,M,FR,2024,376951,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y3,F,FR,2020,367880,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y3,F,FR,2021,359932,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y3,F,FR,2022,354650,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y3,F,FR,2023,351482,p,
